Zip Code,City,State,Metro,CountyName,SizeRank,Rent per Square Foot,Price per Sqft,Rent Based Estimate,Sale Based Estimate,Exact Average,Abodu Estimate
37211,Nashville,TN,Nashville-Davidson--Murfreesboro--Franklin,Davidson County,21,1.036,162,"44,755",72900,"58,828","$60,000 "
10029,New York,NY,New York-Newark-Jersey City,New York County,22,3.814,958,"164,765",431100,"297,932","$300,000 "
10009,New York,NY,New York-Newark-Jersey City,New York County,23,5.02,1425,"216,864",641250,"429,057","$430,000 "
60618,Chicago,IL,Chicago-Naperville-Elgin,Cook County,24,1.772,355,"76,550",159750,"118,150","$120,000 "
10011,New York,NY,New York-Newark-Jersey City,New York County,25,5.712,1703,"246,758",766350,"506,554","$510,000 "
77573,League City,TX,Houston-The Woodlands-Sugar Land,Galveston County,26,0.878,113,"37,930",50850,"44,390","$40,000 "
77584,Pearland,TX,Houston-The Woodlands-Sugar Land,Brazoria County,27,0.802,109,"34,646",49050,"41,848","$40,000 "
10128,New York,NY,New York-Newark-Jersey City,New York County,28,4.4,1237,"190,080",556650,"373,365","$370,000 "
11201,New York,NY,New York-Newark-Jersey City,Kings County,29,3.846,,"166,147",,"166,147","$170,000 "
20002,Washington,DC,Washington-Arlington-Alexandria,District of Columbia,30,2.266,548,"97,891",246600,"172,246","$170,000 "
78130,New Braunfels,TX,San Antonio-New Braunfels,Comal County,31,0.932,137,"40,262",61650,"50,956","$50,000 "
28269,Charlotte,NC,Charlotte-Concord-Gastonia,Mecklenburg County,32,0.77,111,"33,264",49950,"41,607","$40,000 "
78613,Cedar Park,TX,Austin-Round Rock,Williamson County,33,0.814,139,"35,165",62550,"48,857","$50,000 "
78572,Mission,TX,McAllen-Edinburg-Mission,Hidalgo County,34,0.764,76,"33,005",34200,"33,602","$30,000 "
94565,Pittsburg,CA,San Francisco-Oakland-Hayward,Contra Costa County,35,1.574,285,"67,997",128250,"98,123","$100,000 "
79912,El Paso,TX,El Paso,El Paso County,36,0.73,98,"31,536",44100,"37,818","$40,000 "
30349,Riverdale,GA,Atlanta-Sandy Springs-Roswell,Clayton County,37,0.696,75,"30,067",33750,"31,909","$30,000 "
90046,Los Angeles,CA,Los Angeles-Long Beach-Anaheim,Los Angeles County,38,3.24,887,"139,968",399150,"269,559","$270,000 "
20009,Washington,DC,Washington-Arlington-Alexandria,District of Columbia,39,3.172,654,"137,030",294300,"215,665","$220,000 "
75052,Grand Prairie,TX,Dallas-Fort Worth-Arlington,Dallas County,40,0.846,112,"36,547",50400,"43,474","$40,000 "
37042,Clarksville,TN,Clarksville,Montgomery County,41,0.714,97,"30,845",43650,"37,247","$40,000 "
77433,Cypress,TX,Houston-The Woodlands-Sugar Land,Harris County,42,0.776,102,"33,523",45900,"39,712","$40,000 "
73099,Yukon,OK,Oklahoma City,Canadian County,43,0.756,97,"32,659",43650,"38,155","$40,000 "
10462,New York,NY,New York-Newark-Jersey City,Bronx County,44,2.464,235,"106,445",105750,"106,097","$110,000 "
10456,New York,NY,New York-Newark-Jersey City,Bronx County,45,1.772,274,"76,550",123300,"99,925","$100,000 "
11206,New York,NY,New York-Newark-Jersey City,Kings County,46,2.106,,"90,979",,"90,979","$90,000 "
77429,Cypress,TX,Houston-The Woodlands-Sugar Land,Harris County,47,0.768,101,"33,178",45450,"39,314","$40,000 "
10003,New York,NY,New York-Newark-Jersey City,New York County,48,5.668,1700,"244,858",765000,"504,929","$500,000 "
77479,Sugar Land,TX,Houston-The Woodlands-Sugar Land,Fort Bend County,49,0.814,123,"35,165",55350,"45,257","$50,000 "
30044,Lawrenceville,GA,Atlanta-Sandy Springs-Roswell,Gwinnett County,50,0.788,102,"34,042",45900,"39,971","$40,000 "
63376,Saint Peters,MO,St. Louis,Saint Charles County,51,1.018,141,"43,978",63450,"53,714","$50,000 "
60613,Chicago,IL,Chicago-Naperville-Elgin,Cook County,52,1.694,485,"73,181",218250,"145,715","$150,000 "
77036,Houston,TX,Houston-The Woodlands-Sugar Land,Harris County,53,0.9,85,"38,880",38250,"38,565","$40,000 "
10463,New York,NY,New York-Newark-Jersey City,Bronx County,54,1.538,484,"66,442",217800,"142,121","$140,000 "
30043,Lawrenceville,GA,Atlanta-Sandy Springs-Roswell,Gwinnett County,55,0.734,105,"31,709",47250,"39,479","$40,000 "
11212,New York,NY,New York-Newark-Jersey City,Kings County,56,1.994,377,"86,141",169650,"127,895","$130,000 "
11230,New York,NY,New York-Newark-Jersey City,Kings County,57,1.364,667,"58,925",300150,"179,537","$180,000 "
60625,Chicago,IL,Chicago-Naperville-Elgin,Cook County,58,1.558,291,"67,306",130950,"99,128","$100,000 "
11209,New York,NY,New York-Newark-Jersey City,Kings County,59,1.558,692,"67,306",311400,"189,353","$190,000 "
60629,Chicago,IL,Chicago-Naperville-Elgin,Cook County,60,1.374,152,"59,357",68400,"63,878","$60,000 "
28277,Charlotte,NC,Charlotte-Concord-Gastonia,Mecklenburg County,61,0.83,146,"35,856",65700,"50,778","$50,000 "
7030,Hoboken,NJ,New York-Newark-Jersey City,Hudson County,62,3.07,725,"132,624",326250,"229,437","$230,000 "
78245,San Antonio,TX,San Antonio-New Braunfels,Bexar County,63,0.768,102,"33,178",45900,"39,539","$40,000 "
75287,Dallas,TX,Dallas-Fort Worth-Arlington,Dallas County,64,0.994,152,"42,941",68400,"55,670","$60,000 "
78704,Austin,TX,Austin-Round Rock,Travis County,65,1.76,372,"76,032",167400,"121,716","$120,000 "
85032,Phoenix,AZ,Phoenix-Mesa-Scottsdale,Maricopa County,66,1.032,180,"44,582",81000,"62,791","$60,000 "
10024,New York,NY,New York-Newark-Jersey City,New York County,67,4.854,1459,"209,693",656550,"433,121","$430,000 "
60610,Chicago,IL,Chicago-Naperville-Elgin,Cook County,68,2.112,468,"91,238",210600,"150,919","$150,000 "
11221,New York,NY,New York-Newark-Jersey City,Kings County,69,1.298,634,"56,074",285300,"170,687","$170,000 "
33160,Sunny Isles Beach,FL,Miami-Fort Lauderdale-West Palm Beach,Miami-Dade County,70,1.842,269,"79,574",121050,"100,312","$100,000 "
23464,Virginia Beach,VA,Virginia Beach-Norfolk-Newport News,Virginia Beach City,71,0.89,143,"38,448",64350,"51,399","$50,000 "
77077,Houston,TX,Houston-The Woodlands-Sugar Land,Harris County,72,0.96,134,"41,472",60300,"50,886","$50,000 "
30096,Duluth,GA,Atlanta-Sandy Springs-Roswell,Gwinnett County,73,0.862,122,"37,238",54900,"46,069","$50,000 "
21234,Parkville,MD,Baltimore-Columbia-Towson,Baltimore County,74,1.264,158,"54,605",71100,"62,852","$60,000 "
75243,Dallas,TX,Dallas-Fort Worth-Arlington,Dallas County,75,1.07,128,"46,224",57600,"51,912","$50,000 "
98052,Redmond,WA,Seattle-Tacoma-Bellevue,King County,76,1.402,409,"60,566",184050,"122,308","$120,000 "
11214,New York,NY,New York-Newark-Jersey City,Kings County,77,1.768,597,"76,378",268650,"172,514","$170,000 "
78521,Brownsville,TX,Brownsville-Harlingen,Cameron County,78,0.73,59,"31,536",26550,"29,043","$30,000 "
94501,Alameda,CA,San Francisco-Oakland-Hayward,Alameda County,79,2.342,659,"101,174",296550,"198,862","$200,000 "
77379,Spring,TX,Houston-The Woodlands-Sugar Land,Harris County,80,0.734,94,"31,709",42300,"37,004","$40,000 "
8701,Lakewood,NJ,New York-Newark-Jersey City,Ocean County,81,1.108,165,"47,866",74250,"61,058","$60,000 "
10019,New York,NY,New York-Newark-Jersey City,New York County,82,5.392,1498,"232,934",674100,"453,517","$450,000 "
11207,New York,NY,New York-Newark-Jersey City,Kings County,83,1.958,381,"84,586",171450,"128,018","$130,000 "
78666,San Marcos,TX,Austin-Round Rock,Hays County,84,0.978,140,"42,250",63000,"52,625","$50,000 "
30024,Suwanee,GA,Atlanta-Sandy Springs-Roswell,Gwinnett County,85,0.764,128,"33,005",57600,"45,302","$50,000 "
11229,New York,NY,New York-Newark-Jersey City,Kings County,86,1.57,548,"67,824",246600,"157,212","$160,000 "
33411,Royal Palm Beach,FL,Miami-Fort Lauderdale-West Palm Beach,Palm Beach County,87,1.204,159,"52,013",71550,"61,781","$60,000 "
78745,Austin,TX,Austin-Round Rock,Travis County,88,1.242,228,"53,654",102600,"78,127","$80,000 "
60619,Chicago,IL,Chicago-Naperville-Elgin,Cook County,89,1.244,104,"53,741",46800,"50,270","$50,000 "
94110,San Francisco,CA,San Francisco-Oakland-Hayward,San Francisco County,90,3.858,1189,"166,666",535050,"350,858","$350,000 "
33025,Miramar,FL,Miami-Fort Lauderdale-West Palm Beach,Broward County,91,1.37,179,"59,184",80550,"69,867","$70,000 "
90034,Los Angeles,CA,Los Angeles-Long Beach-Anaheim,Los Angeles County,92,2.962,848,"127,958",381600,"254,779","$250,000 "
33139,Miami Beach,FL,Miami-Fort Lauderdale-West Palm Beach,Miami-Dade County,93,2.896,472,"125,107",212400,"168,754","$170,000 "
44107,Lakewood,OH,Cleveland-Elyria,Cuyahoga County,94,0.942,128,"40,694",57600,"49,147","$50,000 "
28027,Concord,NC,Charlotte-Concord-Gastonia,Cabarrus County,95,0.786,118,"33,955",53100,"43,528","$40,000 "
75067,Lewisville,TX,Dallas-Fort Worth-Arlington,Denton County,96,1.014,145,"43,805",65250,"54,527","$50,000 "
23462,Virginia Beach,VA,Virginia Beach-Norfolk-Newport News,Virginia Beach City,97,0.91,129,"39,312",58050,"48,681","$50,000 "
11377,New York,NY,New York-Newark-Jersey City,Queens County,98,1.76,588,"76,032",264600,"170,316","$170,000 "
2169,Quincy,MA,Boston-Cambridge-Newton,Norfolk County,99,1.838,334,"79,402",150300,"114,851","$110,000 "
48197,Ypsilanti,MI,Ann Arbor,Washtenaw County,100,1.042,130,"45,014",58500,"51,757","$50,000 "
66062,Olathe,KS,Kansas City,Johnson County,101,0.998,146,"43,114",65700,"54,407","$50,000 "
44035,Elyria,OH,Cleveland-Elyria,Lorain County,102,0.698,77,"30,154",34650,"32,402","$30,000 "
90044,Los Angeles,CA,Los Angeles-Long Beach-Anaheim,Los Angeles County,103,2.128,362,"91,930",162900,"127,415","$130,000 "
95630,Folsom,CA,Sacramento--Roseville--Arden-Arcade,Sacramento County,104,1.192,270,"51,494",121500,"86,497","$90,000 "
90805,Long Beach,CA,Los Angeles-Long Beach-Anaheim,Los Angeles County,105,2.122,407,"91,670",183150,"137,410","$140,000 "
85710,Tucson,AZ,Tucson,Pima County,106,0.76,113,"32,832",50850,"41,841","$40,000 "
90650,Norwalk,CA,Los Angeles-Long Beach-Anaheim,Los Angeles County,107,1.988,397,"85,882",178650,"132,266","$130,000 "
60611,Chicago,IL,Chicago-Naperville-Elgin,Cook County,108,2.108,,"91,066",,"91,066","$90,000 "
92683,Westminster,CA,Los Angeles-Long Beach-Anaheim,Orange County,109,1.986,416,"85,795",187200,"136,498","$140,000 "
11234,New York,NY,New York-Newark-Jersey City,Kings County,110,1.668,454,"72,058",204300,"138,179","$140,000 "
19143,Philadelphia,PA,Philadelphia-Camden-Wilmington,Philadelphia County,111,0.93,,"40,176",,"40,176","$40,000 "
11355,New York,NY,New York-Newark-Jersey City,Queens County,112,2.204,694,"95,213",312300,"203,756","$200,000 "
60617,Chicago,IL,Chicago-Naperville-Elgin,Cook County,113,1.246,98,"53,827",44100,"48,964","$50,000 "
37075,Hendersonville,TN,Nashville-Davidson--Murfreesboro--Franklin,Sumner County,114,0.842,179,"36,374",80550,"58,462","$60,000 "
10314,New York,NY,New York-Newark-Jersey City,Richmond County,115,1.606,375,"69,379",168750,"119,065","$120,000 "
30281,Stockbridge,GA,Atlanta-Sandy Springs-Roswell,Henry County,116,0.71,86,"30,672",38700,"34,686","$30,000 "
11211,New York,NY,New York-Newark-Jersey City,Kings County,117,3.032,1088,"130,982",489600,"310,291","$310,000 "
11215,New York,NY,New York-Newark-Jersey City,Kings County,118,2.858,1128,"123,466",507600,"315,533","$320,000 "
90026,Los Angeles,CA,Los Angeles-Long Beach-Anaheim,Los Angeles County,119,2.628,748,"113,530",336600,"225,065","$230,000 "
94558,Napa,CA,Napa,Napa County,120,1.918,425,"82,858",191250,"137,054","$140,000 "
80134,Parker,CO,Denver-Aurora-Lakewood,Douglas County,121,1.192,218,"51,494",98100,"74,797","$70,000 "
87114,Albuquerque,NM,Albuquerque,Bernalillo County,122,0.696,144,"30,067",64800,"47,434","$50,000 "
91910,Chula Vista,CA,San Diego-Carlsbad,San Diego County,123,1.568,317,"67,738",142650,"105,194","$110,000 "
6010,Bristol,CT,Hartford-West Hartford-East Hartford,Hartford County,124,1.094,132,"47,261",59400,"53,330","$50,000 "
93722,Fresno,CA,Fresno,Fresno County,125,0.882,156,"38,102",70200,"54,151","$50,000 "
78240,San Antonio,TX,San Antonio-New Braunfels,Bexar County,126,0.842,112,"36,374",50400,"43,387","$40,000 "
43081,Westerville,OH,Columbus,Franklin County,127,0.938,131,"40,522",58950,"49,736","$50,000 "
17603,Lancaster,PA,Lancaster,Lancaster County,128,0.872,118,"37,670",53100,"45,385","$50,000 "
89108,Las Vegas,NV,Las Vegas-Henderson-Paradise,Clark County,129,0.882,156,"38,102",70200,"54,151","$50,000 "
85308,Glendale,AZ,Phoenix-Mesa-Scottsdale,Maricopa County,130,0.856,157,"36,979",70650,"53,815","$50,000 "
85281,Tempe,AZ,Phoenix-Mesa-Scottsdale,Maricopa County,131,1.156,197,"49,939",88650,"69,295","$70,000 "
87111,Albuquerque,NM,Albuquerque,Bernalillo County,132,0.774,151,"33,437",67950,"50,693","$50,000 "
48180,Taylor,MI,Detroit-Warren-Dearborn,Wayne County,133,0.9,90,"38,880",40500,"39,690","$40,000 "
34787,Winter Garden,FL,Orlando-Kissimmee-Sanford,Orange County,134,0.922,141,"39,830",63450,"51,640","$50,000 "
97229,Portland,OR,Portland-Vancouver-Hillsboro,Multnomah County,135,1.13,243,"48,816",109350,"79,083","$80,000 "
94533,Fairfield,CA,Vallejo-Fairfield,Solano County,136,1.364,253,"58,925",113850,"86,387","$90,000 "
76063,Mansfield,TX,Dallas-Fort Worth-Arlington,Tarrant County,137,0.864,119,"37,325",53550,"45,437","$50,000 "
15601,Greensburg,PA,Pittsburgh,Westmoreland County,138,0.736,,"31,795",,"31,795","$30,000 "
77459,Missouri City,TX,Houston-The Woodlands-Sugar Land,Fort Bend County,139,0.744,103,"32,141",46350,"39,245","$40,000 "
91709,Chino Hills,CA,Riverside-San Bernardino-Ontario,San Bernardino County,140,1.592,349,"68,774",157050,"112,912","$110,000 "
43055,Newark,OH,Columbus,Licking County,141,0.756,101,"32,659",45450,"39,055","$40,000 "
95608,Carmichael,CA,Sacramento--Roseville--Arden-Arcade,Sacramento County,142,1.178,245,"50,890",110250,"80,570","$80,000 "
79938,El Paso,TX,El Paso,El Paso County,143,0.7,92,"30,240",41400,"35,820","$40,000 "
85364,Yuma,AZ,Yuma,Yuma County,144,0.678,101,"29,290",45450,"37,370","$40,000 "
44060,Mentor,OH,Cleveland-Elyria,Lake County,145,0.8,104,"34,560",46800,"40,680","$40,000 "
11238,New York,NY,New York-Newark-Jersey City,Kings County,146,3.062,1044,"132,278",469800,"301,039","$300,000 "
43123,Grove City,OH,Columbus,Franklin County,147,0.892,120,"38,534",54000,"46,267","$50,000 "
78577,Pharr,TX,McAllen-Edinburg-Mission,Hidalgo County,148,0.764,72,"33,005",32400,"32,702","$30,000 "
80013,Aurora,CO,Denver-Aurora-Lakewood,Arapahoe County,149,1.398,232,"60,394",104400,"82,397","$80,000 "
33024,Pembroke Pines,FL,Miami-Fort Lauderdale-West Palm Beach,Broward County,150,1.402,214,"60,566",96300,"78,433","$80,000 "
33908,Fort Myers,FL,Cape Coral-Fort Myers,Lee County,151,1.328,157,"57,370",70650,"64,010","$60,000 "
11385,New York,NY,New York-Newark-Jersey City,Queens County,152,1.69,510,"73,008",229500,"151,254","$150,000 "
75056,The Colony,TX,Dallas-Fort Worth-Arlington,Denton County,153,0.922,140,"39,830",63000,"51,415","$50,000 "
98012,Bothell,WA,Seattle-Tacoma-Bellevue,Snohomish County,154,1.178,296,"50,890",133200,"92,045","$90,000 "
90066,Los Angeles,CA,Los Angeles-Long Beach-Anaheim,Los Angeles County,155,3.264,941,"141,005",423450,"282,227","$280,000 "
20906,Silver Spring,MD,Washington-Arlington-Alexandria,Montgomery County,156,1.456,223,"62,899",100350,"81,625","$80,000 "
76028,Burleson,TX,Dallas-Fort Worth-Arlington,Johnson County,157,0.902,119,"38,966",53550,"46,258","$50,000 "
14850,Ithaca,NY,Ithaca,Tompkins County,158,1.216,153,"52,531",68850,"60,691","$60,000 "
33647,Tampa,FL,Tampa-St. Petersburg-Clearwater,Hillsborough County,159,0.858,126,"37,066",56700,"46,883","$50,000 "
92677,Laguna Niguel,CA,Los Angeles-Long Beach-Anaheim,Orange County,160,1.908,436,"82,426",196200,"139,313","$140,000 "
30040,Cumming,GA,Atlanta-Sandy Springs-Roswell,Forsyth County,161,0.774,138,"33,437",62100,"47,768","$50,000 "
27587,Wake Forest,NC,Raleigh,Wake County,162,0.77,132,"33,264",59400,"46,332","$50,000 "
44256,Medina,OH,Cleveland-Elyria,Medina County,163,0.85,117,"36,720",52650,"44,685","$40,000 "
2148,Malden,MA,Boston-Cambridge-Newton,Middlesex County,164,1.728,336,"74,650",151200,"112,925","$110,000 "
65807,Springfield,MO,Springfield,Greene County,165,0.618,91,"26,698",40950,"33,824","$30,000 "
60620,Chicago,IL,Chicago-Naperville-Elgin,Cook County,166,1.232,104,"53,222",46800,"50,011","$50,000 "
11373,New York,NY,New York-Newark-Jersey City,Queens County,167,2.138,595,"92,362",267750,"180,056","$180,000 "
95823,Sacramento,CA,Sacramento--Roseville--Arden-Arcade,Sacramento County,168,1.14,196,"49,248",88200,"68,724","$70,000 "
6902,Stamford,CT,Bridgeport-Stamford-Norwalk,Fairfield County,169,1.774,243,"76,637",109350,"92,993","$90,000 "
92336,Fontana,CA,Riverside-San Bernardino-Ontario,San Bernardino County,170,1.152,227,"49,766",102150,"75,958","$80,000 "
45011,Hamilton,OH,Cincinnati,Butler County,171,0.832,107,"35,942",48150,"42,046","$40,000 "
77845,College Station,TX,College Station-Bryan,Brazos County,172,0.928,133,"40,090",59850,"49,970","$50,000 "
47906,West Lafayette,IN,Lafayette-West Lafayette,Tippecanoe County,173,0.72,108,"31,104",48600,"39,852","$40,000 "
27410,Greensboro,NC,Greensboro-High Point,Guilford County,174,0.774,109,"33,437",49050,"41,243","$40,000 "
30318,Atlanta,GA,Atlanta-Sandy Springs-Roswell,Fulton County,175,1.128,,"48,730",,"48,730","$50,000 "
65203,Columbia,MO,Columbia,Boone County,176,0.696,108,"30,067",48600,"39,334","$40,000 "
30188,Woodstock,GA,Atlanta-Sandy Springs-Roswell,Cherokee County,177,0.852,133,"36,806",59850,"48,328","$50,000 "
92345,Hesperia,CA,Riverside-San Bernardino-Ontario,San Bernardino County,178,0.866,161,"37,411",72450,"54,931","$50,000 "
10028,New York,NY,New York-Newark-Jersey City,New York County,179,4.888,1363,"211,162",613350,"412,256","$410,000 "
46307,Crown Point,IN,Chicago-Naperville-Elgin,Lake County,180,0.856,125,"36,979",56250,"46,615","$50,000 "
7302,Jersey City,NJ,New York-Newark-Jersey City,Hudson County,181,3.02,799,"130,464",359550,"245,007","$250,000 "
92804,Anaheim,CA,Los Angeles-Long Beach-Anaheim,Orange County,182,2.02,387,"87,264",174150,"130,707","$130,000 "
8753,Toms River,NJ,New York-Newark-Jersey City,Ocean County,183,1.18,165,"50,976",74250,"62,613","$60,000 "
77450,Cinco Ranch,TX,Houston-The Woodlands-Sugar Land,Fort Bend County,184,0.804,108,"34,733",48600,"41,666","$40,000 "
99301,Pasco,WA,Kennewick-Richland,Franklin County,185,0.936,152,"40,435",68400,"54,418","$50,000 "
60634,Chicago,IL,Chicago-Naperville-Elgin,Cook County,186,1.564,229,"67,565",103050,"85,307","$90,000 "
92126,San Diego,CA,San Diego-Carlsbad,San Diego County,187,1.874,415,"80,957",186750,"133,853","$130,000 "
27406,Greensboro,NC,Greensboro-High Point,Guilford County,188,0.706,79,"30,499",35550,"33,025","$30,000 "
75228,Dallas,TX,Dallas-Fort Worth-Arlington,Dallas County,189,1.084,144,"46,829",64800,"55,814","$60,000 "
92503,Riverside,CA,Riverside-San Bernardino-Ontario,Riverside County,190,1.364,260,"58,925",117000,"87,962","$90,000 "
33009,Hallandale,FL,Miami-Fort Lauderdale-West Palm Beach,Broward County,191,1.63,195,"70,416",87750,"79,083","$80,000 "
43130,Lancaster,OH,Columbus,Fairfield County,192,0.834,107,"36,029",48150,"42,089","$40,000 "
20011,Washington,DC,Washington-Arlington-Alexandria,District of Columbia,193,2.024,444,"87,437",199800,"143,618","$140,000 "
98103,Seattle,WA,Seattle-Tacoma-Bellevue,King County,194,1.954,554,"84,413",249300,"166,856","$170,000 "
28314,Fayetteville,NC,Fayetteville,Cumberland County,195,0.588,74,"25,402",33300,"29,351","$30,000 "
76244,Fort Worth,TX,Dallas-Fort Worth-Arlington,Tarrant County,196,0.808,115,"34,906",51750,"43,328","$40,000 "
29732,Rock Hill,SC,Charlotte-Concord-Gastonia,York County,197,0.796,,"34,387",,"34,387","$30,000 "
90019,Los Angeles,CA,Los Angeles-Long Beach-Anaheim,Los Angeles County,198,2.444,666,"105,581",299700,"202,640","$200,000 "
11233,New York,NY,New York-Newark-Jersey City,Kings County,199,2.092,566,"90,374",254700,"172,537","$170,000 "
27610,Raleigh,NC,Raleigh,Wake County,200,0.85,113,"36,720",50850,"43,785","$40,000 "
60016,Des Plaines,IL,Chicago-Naperville-Elgin,Cook County,201,1.326,189,"57,283",85050,"71,167","$70,000 "
91911,Chula Vista,CA,San Diego-Carlsbad,San Diego County,202,1.672,319,"72,230",143550,"107,890","$110,000 "
78641,Leander,TX,Austin-Round Rock,Williamson County,203,0.872,136,"37,670",61200,"49,435","$50,000 "
77095,Houston,TX,Houston-The Woodlands-Sugar Land,Harris County,204,0.732,95,"31,622",42750,"37,186","$40,000 "
87120,Albuquerque,NM,Albuquerque,Bernalillo County,205,0.732,136,"31,622",61200,"46,411","$50,000 "
28078,Huntersville,NC,Charlotte-Concord-Gastonia,Mecklenburg County,206,0.768,130,"33,178",58500,"45,839","$50,000 "
21740,Hagerstown,MD,Hagerstown-Martinsburg,Washington County,207,0.79,114,"34,128",51300,"42,714","$40,000 "
22191,Woodbridge,VA,Washington-Arlington-Alexandria,Prince William County,208,1.246,206,"53,827",92700,"73,264","$70,000 "
40475,Richmond,KY,Richmond-Berea,Madison County,209,0.72,103,"31,104",46350,"38,727","$40,000 "
94536,Fremont,CA,San Francisco-Oakland-Hayward,Alameda County,210,2.128,686,"91,930",308700,"200,315","$200,000 "
34135,Bonita Springs,FL,Cape Coral-Fort Myers,Lee County,211,1.422,179,"61,430",80550,"70,990","$70,000 "
7002,Bayonne,NJ,New York-Newark-Jersey City,Hudson County,212,0.988,202,"42,682",90900,"66,791","$70,000 "
95747,Roseville,CA,Sacramento--Roseville--Arden-Arcade,Placer County,213,1.106,234,"47,779",105300,"76,540","$80,000 "
23320,Chesapeake,VA,Virginia Beach-Norfolk-Newport News,Chesapeake City,214,0.894,138,"38,621",62100,"50,360","$50,000 "
90280,South Gate,CA,Los Angeles-Long Beach-Anaheim,Los Angeles County,215,2.004,368,"86,573",165600,"126,086","$130,000 "
46227,Indianapolis,IN,Indianapolis-Carmel-Anderson,Marion County,216,0.792,102,"34,214",45900,"40,057","$40,000 "
43230,Gahanna,OH,Columbus,Franklin County,217,0.95,134,"41,040",60300,"50,670","$50,000 "
92592,Temecula,CA,Riverside-San Bernardino-Ontario,Riverside County,218,1.074,216,"46,397",97200,"71,798","$70,000 "
34711,Clermont,FL,Orlando-Kissimmee-Sanford,Lake County,219,0.846,137,"36,547",61650,"49,099","$50,000 "
19111,Philadelphia,PA,Philadelphia-Camden-Wilmington,Philadelphia County,220,0.954,136,"41,213",61200,"51,206","$50,000 "
10027,New York,NY,New York-Newark-Jersey City,New York County,221,2.944,946,"127,181",425700,"276,440","$280,000 "
11236,New York,NY,New York-Newark-Jersey City,Kings County,222,1.894,400,"81,821",180000,"130,910","$130,000 "
30080,Smyrna,GA,Atlanta-Sandy Springs-Roswell,Cobb County,223,1.014,155,"43,805",69750,"56,777","$60,000 "
30041,Cumming,GA,Atlanta-Sandy Springs-Roswell,Forsyth County,224,0.796,145,"34,387",65250,"49,819","$50,000 "
74012,Broken Arrow,OK,Tulsa,Tulsa County,225,0.69,88,"29,808",39600,"34,704","$30,000 "
30052,Loganville,GA,Atlanta-Sandy Springs-Roswell,Gwinnett County,226,0.712,102,"30,758",45900,"38,329","$40,000 "
21117,Owings Mills,MD,Baltimore-Columbia-Towson,Baltimore County,227,1.192,164,"51,494",73800,"62,647","$60,000 "
75035,Frisco,TX,Dallas-Fort Worth-Arlington,Collin County,228,0.826,136,"35,683",61200,"48,442","$50,000 "
91730,Rancho Cucamonga,CA,Riverside-San Bernardino-Ontario,San Bernardino County,229,1.52,301,"65,664",135450,"100,557","$100,000 "
32244,Jacksonville,FL,Jacksonville,Duval County,230,0.77,100,"33,264",45000,"39,132","$40,000 "
60628,Chicago,IL,Chicago-Naperville-Elgin,Cook County,231,1.282,,"55,382",,"55,382","$60,000 "
