RegionID,RegionName,City,State,Metro,CountyName,SizeRank,Rent per Square Foot,Price per Sqft,Rent Based Estimate,Sale Based Estimate,Exact Average,Abodu Estimate
96817,92336,Fontana,CA,Riverside-San Bernardino-Ontario,San Bernardino County,170,1.152,227,"54,743",112365,"83,554","80,000"
77400,45011,Hamilton,OH,Cincinnati,Butler County,171,0.832,107,"39,537",52965,"46,251","50,000"
92125,77845,College Station,TX,College Station-Bryan,Brazos County,172,0.928,133,"44,099",65835,"54,967","50,000"
78823,47906,West Lafayette,IN,Lafayette-West Lafayette,Tippecanoe County,173,0.72,108,"34,214",53460,"43,837","40,000"
69340,27410,Greensboro,NC,Greensboro-High Point,Guilford County,174,0.774,109,"36,780",53955,"45,368","50,000"
71038,30318,Atlanta,GA,Atlanta-Sandy Springs-Roswell,Fulton County,175,1.128,,"53,603",,"53,603","50,000"
86717,65203,Columbia,MO,Columbia,Boone County,176,0.696,108,"33,074",53460,"43,267","40,000"
70953,30188,Woodstock,GA,Atlanta-Sandy Springs-Roswell,Cherokee County,177,0.852,133,"40,487",65835,"53,161","50,000"
96825,92345,Hesperia,CA,Riverside-San Bernardino-Ontario,San Bernardino County,178,0.866,161,"41,152",79695,"60,424","60,000"
61642,10028,New York,NY,New York-Newark-Jersey City,New York County,179,4.888,1363,"232,278",674685,"453,481","450,000"
78085,46307,Crown Point,IN,Chicago-Naperville-Elgin,Lake County,180,0.856,125,"40,677",61875,"51,276","50,000"
60639,7302,Jersey City,NJ,New York-Newark-Jersey City,Hudson County,181,3.02,799,"143,510",395505,"269,508","270,000"
97023,92804,Anaheim,CA,Los Angeles-Long Beach-Anaheim,Orange County,182,2.02,387,"95,990",191565,"143,778","140,000"
61169,8753,Toms River,NJ,New York-Newark-Jersey City,Ocean County,183,1.18,165,"56,074",81675,"68,874","70,000"
91941,77450,Cinco Ranch,TX,Houston-The Woodlands-Sugar Land,Fort Bend County,184,0.804,108,"38,206",53460,"45,833","50,000"
100179,99301,Pasco,WA,Kennewick-Richland,Franklin County,185,0.936,152,"44,479",75240,"59,859","60,000"
84635,60634,Chicago,IL,Chicago-Naperville-Elgin,Cook County,186,1.564,229,"74,321",113355,"93,838","90,000"
96667,92126,San Diego,CA,San Diego-Carlsbad,San Diego County,187,1.874,415,"89,052",205425,"147,239","150,000"
69336,27406,Greensboro,NC,Greensboro-High Point,Guilford County,188,0.706,79,"33,549",39105,"36,327","40,000"
90780,75228,Dallas,TX,Dallas-Fort Worth-Arlington,Dallas County,189,1.084,144,"51,512",71280,"61,396","60,000"
96882,92503,Riverside,CA,Riverside-San Bernardino-Ontario,Riverside County,190,1.364,260,"64,817",128700,"96,759","100,000"
72347,33009,Hallandale,FL,Miami-Fort Lauderdale-West Palm Beach,Broward County,191,1.63,195,"77,458",96525,"86,991","90,000"
76539,43130,Lancaster,OH,Columbus,Fairfield County,192,0.834,107,"39,632",52965,"46,298","50,000"
66135,20011,Washington,DC,Washington-Arlington-Alexandria,District of Columbia,193,2.024,444,"96,180",219780,"157,980","160,000"
99563,98103,Seattle,WA,Seattle-Tacoma-Bellevue,King County,194,1.954,554,"92,854",274230,"183,542","180,000"
69849,28314,Fayetteville,NC,Fayetteville,Cumberland County,195,0.588,74,"27,942",36630,"32,286","30,000"
91325,76244,Fort Worth,TX,Dallas-Fort Worth-Arlington,Tarrant County,196,0.808,115,"38,396",56925,"47,661","50,000"
70698,29732,Rock Hill,SC,Charlotte-Concord-Gastonia,York County,197,0.796,,"37,826",,"37,826","40,000"
96000,90019,Los Angeles,CA,Los Angeles-Long Beach-Anaheim,Los Angeles County,198,2.444,666,"116,139",329670,"222,904","220,000"
62043,11233,New York,NY,New York-Newark-Jersey City,Kings County,199,2.092,566,"99,412",280170,"189,791","190,000"
69450,27610,Raleigh,NC,Raleigh,Wake County,200,0.85,113,"40,392",55935,"48,164","50,000"
84285,60016,Des Plaines,IL,Chicago-Naperville-Elgin,Cook County,201,1.326,189,"63,012",93555,"78,283","80,000"
96546,91911,Chula Vista,CA,San Diego-Carlsbad,San Diego County,202,1.672,319,"79,453",157905,"118,679","120,000"
92576,78641,Leander,TX,Austin-Round Rock,Williamson County,203,0.872,136,"41,437",67320,"54,379","50,000"
91744,77095,Houston,TX,Houston-The Woodlands-Sugar Land,Harris County,204,0.732,95,"34,785",47025,"40,905","40,000"
95314,87120,Albuquerque,NM,Albuquerque,Bernalillo County,205,0.732,136,"34,785",67320,"51,052","50,000"
69699,28078,Huntersville,NC,Charlotte-Concord-Gastonia,Mecklenburg County,206,0.768,130,"36,495",64350,"50,423","50,000"
67010,21740,Hagerstown,MD,Hagerstown-Martinsburg,Washington County,207,0.79,114,"37,541",56430,"46,985","50,000"
67180,22191,Woodbridge,VA,Washington-Arlington-Alexandria,Prince William County,208,1.246,206,"59,210",101970,"80,590","80,000"
75696,40475,Richmond,KY,Richmond-Berea,Madison County,209,0.72,103,"34,214",50985,"42,600","40,000"
97743,94536,Fremont,CA,San Francisco-Oakland-Hayward,Alameda County,210,2.128,686,"101,123",339570,"220,346","220,000"
73014,34135,Bonita Springs,FL,Cape Coral-Fort Myers,Lee County,211,1.422,179,"67,573",88605,"78,089","80,000"
60518,7002,Bayonne,NJ,New York-Newark-Jersey City,Hudson County,212,0.988,202,"46,950",99990,"73,470","70,000"
98411,95747,Roseville,CA,Sacramento--Roseville--Arden-Arcade,Placer County,213,1.106,234,"52,557",115830,"84,194","80,000"
67655,23320,Chesapeake,VA,Virginia Beach-Norfolk-Newport News,Chesapeake City,214,0.894,138,"42,483",68310,"55,396","60,000"
96125,90280,South Gate,CA,Los Angeles-Long Beach-Anaheim,Los Angeles County,215,2.004,368,"95,230",182160,"138,695","140,000"
78042,46227,Indianapolis,IN,Indianapolis-Carmel-Anderson,Marion County,216,0.792,102,"37,636",50490,"44,063","40,000"
76597,43230,Gahanna,OH,Columbus,Franklin County,217,0.95,134,"45,144",66330,"55,737","60,000"
96934,92592,Temecula,CA,Riverside-San Bernardino-Ontario,Riverside County,218,1.074,216,"51,036",106920,"78,978","80,000"
73183,34711,Clermont,FL,Orlando-Kissimmee-Sanford,Lake County,219,0.846,137,"40,202",67815,"54,008","50,000"
65779,19111,Philadelphia,PA,Philadelphia-Camden-Wilmington,Philadelphia County,220,0.954,136,"45,334",67320,"56,327","60,000"
61641,10027,New York,NY,New York-Newark-Jersey City,New York County,221,2.944,946,"139,899",468270,"304,084","300,000"
62046,11236,New York,NY,New York-Newark-Jersey City,Kings County,222,1.894,400,"90,003",198000,"144,001","140,000"
70859,30080,Smyrna,GA,Atlanta-Sandy Springs-Roswell,Cobb County,223,1.014,155,"48,185",76725,"62,455","60,000"
70826,30041,Cumming,GA,Atlanta-Sandy Springs-Roswell,Forsyth County,224,0.796,145,"37,826",71775,"54,800","50,000"
90226,74012,Broken Arrow,OK,Tulsa,Tulsa County,225,0.69,88,"32,789",43560,"38,174","40,000"
70835,30052,Loganville,GA,Atlanta-Sandy Springs-Roswell,Gwinnett County,226,0.712,102,"33,834",50490,"42,162","40,000"
66785,21117,Owings Mills,MD,Baltimore-Columbia-Towson,Baltimore County,227,1.192,164,"56,644",81180,"68,912","70,000"
